v362_id,region,cadena_productiva,tipo_empresa,herramientas_diferenciacion
30,Arica,Contenidos creativos,Empresa,Ninguna de las anteriores
72,Arica,Servicios creativos,Empresa,Registro de propiedad intelectual
97,Arica,Experiencias creativas,Empresa,Registro de propiedad intelectual
54,Antofagasta,Servicios creativos,Profesional independiente,Gestión de precios de contenidos creativos
73,Antofagasta,Experiencias creativas,Empresa,Ninguna de las anteriores
138,Atacama,Bienes creativos,Empresa,Registro de propiedad intelectual
138,Atacama,Bienes creativos,Empresa,Licenciamiento
138,Atacama,Bienes creativos,Empresa,Franquicias
8,Valparaíso,Bienes creativos,Empresa,Ninguna de las anteriores
11,Valparaíso,Servicios creativos,Empresa,Ninguna de las anteriores
12,Valparaíso,Contenidos creativos,Empresa,Registro de propiedad intelectual
12,Valparaíso,Contenidos creativos,Empresa,Licenciamiento
20,Valparaíso,Servicios creativos,Empresa,Registro de propiedad intelectual
20,Valparaíso,Servicios creativos,Empresa,Licenciamiento
20,Valparaíso,Servicios creativos,Empresa,Franquicias
21,Valparaíso,Servicios creativos,Empresa,Ninguna de las anteriores
32,Valparaíso,Experiencias creativas,Profesional independiente,Registro de propiedad intelectual
32,Valparaíso,Experiencias creativas,Profesional independiente,Gestión de precios de contenidos creativos
52,Valparaíso,Experiencias creativas,Empresa,Franquicias
52,Valparaíso,Experiencias creativas,Empresa,Gestión de precios de contenidos creativos
53,Valparaíso,Servicios creativos,Empresa,Licenciamiento
68,Valparaíso,Contenidos creativos,Profesional independiente,Ninguna de las anteriores
69,Valparaíso,Bienes creativos,Profesional independiente,Ninguna de las anteriores
71,Valparaíso,Servicios creativos,Empresa,Ninguna de las anteriores
74,Valparaíso,Contenidos creativos,Empresa,Ninguna de las anteriores
84,Valparaíso,Contenidos creativos,Empresa,Gestión de precios de contenidos creativos
92,Valparaíso,Servicios creativos,Empresa,Ninguna de las anteriores
103,Valparaíso,Contenidos creativos,Profesional independiente,Ninguna de las anteriores
113,Valparaíso,Bienes creativos,Empresa,Ninguna de las anteriores
114,Valparaíso,Servicios creativos,Empresa,Ninguna de las anteriores
117,Valparaíso,Servicios creativos,Profesional independiente,Ninguna de las anteriores
120,Valparaíso,Bienes creativos,Empresa,Registro de propiedad intelectual
120,Valparaíso,Bienes creativos,Empresa,Licenciamiento
120,Valparaíso,Bienes creativos,Empresa,Gestión de precios de contenidos creativos
126,Valparaíso,Bienes creativos,Empresa,Registro de propiedad intelectual
126,Valparaíso,Bienes creativos,Empresa,Gestión de precios de contenidos creativos
129,Valparaíso,Bienes creativos,Profesional independiente,Ninguna de las anteriores
131,Valparaíso,Servicios creativos,Empresa,Ninguna de las anteriores
135,Valparaíso,Servicios creativos,Empresa,Registro de propiedad intelectual
2,RM,Servicios creativos,Profesional independiente,Registro de propiedad intelectual
3,RM,Servicios creativos,Empresa,Registro de propiedad intelectual
3,RM,Servicios creativos,Empresa,Franquicias
3,RM,Servicios creativos,Empresa,Gestión de precios de contenidos creativos
5,RM,Contenidos creativos,Profesional independiente,Ninguna de las anteriores
7,RM,Servicios creativos,Empresa,Ninguna de las anteriores
13,RM,Servicios creativos,Empresa,Licenciamiento
13,RM,Servicios creativos,Empresa,Gestión de precios de contenidos creativos
14,RM,Servicios creativos,Empresa,Licenciamiento
15,RM,Contenidos creativos,Profesional independiente,Ninguna de las anteriores
16,RM,Contenidos creativos,Empresa,Registro de propiedad intelectual
17,RM,Bienes creativos,Empresa,Registro de propiedad intelectual
17,RM,Bienes creativos,Empresa,Licenciamiento
18,RM,Servicios creativos,Empresa,Licenciamiento
19,RM,Servicios creativos,Empresa,Registro de propiedad intelectual
22,RM,Servicios creativos,Profesional independiente,Ninguna de las anteriores
23,RM,Experiencias creativas,Empresa,Registro de propiedad intelectual
23,RM,Experiencias creativas,Empresa,Licenciamiento
23,RM,Experiencias creativas,Empresa,Gestión de precios de contenidos creativos
24,RM,Bienes creativos,Profesional independiente,Ninguna de las anteriores
25,RM,Contenidos creativos,Empresa,Registro de propiedad intelectual
26,RM,Contenidos creativos,Empresa,Registro de propiedad intelectual
26,RM,Contenidos creativos,Empresa,Licenciamiento
26,RM,Contenidos creativos,Empresa,Franquicias
26,RM,Contenidos creativos,Empresa,Gestión de precios de contenidos creativos
28,RM,Contenidos creativos,Empresa,Ninguna de las anteriores
29,RM,Servicios creativos,Empresa,Registro de propiedad intelectual
33,RM,Servicios creativos,Empresa,Gestión de precios de contenidos creativos
35,RM,Contenidos creativos,Empresa,Ninguna de las anteriores
36,RM,Contenidos creativos,Empresa,Registro de propiedad intelectual
38,RM,Contenidos creativos,Empresa,Registro de propiedad intelectual
38,RM,Contenidos creativos,Empresa,Licenciamiento
38,RM,Contenidos creativos,Empresa,Gestión de precios de contenidos creativos
42,RM,Bienes creativos,Empresa,Registro de propiedad intelectual
42,RM,Bienes creativos,Empresa,registro de marca INAPI
45,RM,Contenidos creativos,Profesional independiente,Ninguna de las anteriores
46,RM,Bienes creativos,Empresa,Franquicias
47,RM,Experiencias creativas,Empresa,Registro de propiedad intelectual
48,RM,Experiencias creativas,Empresa,Registro de propiedad intelectual
48,RM,Experiencias creativas,Empresa,Licenciamiento
48,RM,Experiencias creativas,Empresa,Gestión de precios de contenidos creativos
49,RM,Contenidos creativos,Empresa,Ninguna de las anteriores
50,RM,Contenidos creativos,Empresa,Registro de propiedad intelectual
55,RM,Servicios creativos,Empresa,Gestión de precios de contenidos creativos
55,RM,Servicios creativos,Empresa,Gestión de marketing
56,RM,Bienes creativos,Profesional independiente,Registro de propiedad intelectual
58,RM,Contenidos creativos,Empresa,Gestión de precios de contenidos creativos
60,RM,Contenidos creativos,Empresa,Ninguna de las anteriores
62,RM,Contenidos creativos,Empresa,Registro de propiedad intelectual
63,RM,Contenidos creativos,Empresa,Ninguna de las anteriores
64,RM,Contenidos creativos,Empresa,Ninguna de las anteriores
65,RM,Experiencias creativas,Profesional independiente,Trabajamos en hospital de niños Roberto del Río
78,RM,Servicios creativos,Empresa,formación técnico profesional para nuevos medios
