v362_id,region,cadena_productiva,tipo_empresa,interaccion
30,Arica,Contenidos creativos,Empresa,Agro-Tech
30,Arica,Contenidos creativos,Empresa,Ciencia y tecnología
30,Arica,Contenidos creativos,Empresa,Educación
30,Arica,Contenidos creativos,Empresa,Energía renovable
30,Arica,Contenidos creativos,Empresa,Innovación
72,Arica,Servicios creativos,Empresa,Agro-Tech
72,Arica,Servicios creativos,Empresa,Ciencia y tecnología
72,Arica,Servicios creativos,Empresa,Innovación
97,Arica,Experiencias creativas,Empresa,Educación
97,Arica,Experiencias creativas,Empresa,Turismo
97,Arica,Experiencias creativas,Empresa,Patrimonio Cultural
73,Antofagasta,Experiencias creativas,Empresa,Educación
138,Atacama,Bienes creativos,Empresa,Ciencia y tecnología
138,Atacama,Bienes creativos,Empresa,Comunicaciones
138,Atacama,Bienes creativos,Empresa,Educación
138,Atacama,Bienes creativos,Empresa,Innovación
138,Atacama,Bienes creativos,Empresa,Minería
138,Atacama,Bienes creativos,Empresa,Turismo
8,Valparaíso,Bienes creativos,Empresa,Innovación
11,Valparaíso,Servicios creativos,Empresa,Agro-Tech
11,Valparaíso,Servicios creativos,Empresa,Ciencia y tecnología
11,Valparaíso,Servicios creativos,Empresa,Minería
12,Valparaíso,Contenidos creativos,Empresa,Ciencia y tecnología
12,Valparaíso,Contenidos creativos,Empresa,Construcción y desarrollo urbano
12,Valparaíso,Contenidos creativos,Empresa,Educación
12,Valparaíso,Contenidos creativos,Empresa,Energía no renovable
12,Valparaíso,Contenidos creativos,Empresa,Innovación
12,Valparaíso,Contenidos creativos,Empresa,Minería
12,Valparaíso,Contenidos creativos,Empresa,Retail
12,Valparaíso,Contenidos creativos,Empresa,Salud
12,Valparaíso,Contenidos creativos,Empresa,Transporte
12,Valparaíso,Contenidos creativos,Empresa,Financiero: banca y seguros
20,Valparaíso,Servicios creativos,Empresa,Educación
21,Valparaíso,Servicios creativos,Empresa,Construcción y desarrollo urbano
32,Valparaíso,Experiencias creativas,Profesional independiente,Ciencia y tecnología
52,Valparaíso,Experiencias creativas,Empresa,Ciencia y tecnología
52,Valparaíso,Experiencias creativas,Empresa,Comunicaciones
52,Valparaíso,Experiencias creativas,Empresa,Educación
53,Valparaíso,Servicios creativos,Empresa,Agro-Tech
53,Valparaíso,Servicios creativos,Empresa,Ciencia y tecnología
53,Valparaíso,Servicios creativos,Empresa,Educación
53,Valparaíso,Servicios creativos,Empresa,Innovación
53,Valparaíso,Servicios creativos,Empresa,Medioambiente y desastres naturales
53,Valparaíso,Servicios creativos,Empresa,Turismo
69,Valparaíso,Bienes creativos,Profesional independiente,Educación
71,Valparaíso,Servicios creativos,Empresa,Comunicaciones
84,Valparaíso,Contenidos creativos,Empresa,Ciencia y tecnología
84,Valparaíso,Contenidos creativos,Empresa,Educación
84,Valparaíso,Contenidos creativos,Empresa,Energía renovable
84,Valparaíso,Contenidos creativos,Empresa,Innovación
84,Valparaíso,Contenidos creativos,Empresa,Medioambiente y desastres naturales
84,Valparaíso,Contenidos creativos,Empresa,Transporte
92,Valparaíso,Servicios creativos,Empresa,Construcción y desarrollo urbano
92,Valparaíso,Servicios creativos,Empresa,Educación
92,Valparaíso,Servicios creativos,Empresa,Innovación
103,Valparaíso,Contenidos creativos,Profesional independiente,Ciencia y tecnología
103,Valparaíso,Contenidos creativos,Profesional independiente,Comunicaciones
103,Valparaíso,Contenidos creativos,Profesional independiente,Educación
103,Valparaíso,Contenidos creativos,Profesional independiente,Innovación
103,Valparaíso,Contenidos creativos,Profesional independiente,Medioambiente y desastres naturales
103,Valparaíso,Contenidos creativos,Profesional independiente,Turismo
113,Valparaíso,Bienes creativos,Empresa,Ciencia y tecnología
113,Valparaíso,Bienes creativos,Empresa,Comunicaciones
113,Valparaíso,Bienes creativos,Empresa,Construcción y desarrollo urbano
113,Valparaíso,Bienes creativos,Empresa,Educación
113,Valparaíso,Bienes creativos,Empresa,Innovación
114,Valparaíso,Servicios creativos,Empresa,Ciencia y tecnología
114,Valparaíso,Servicios creativos,Empresa,Comunicaciones
114,Valparaíso,Servicios creativos,Empresa,Educación
114,Valparaíso,Servicios creativos,Empresa,Innovación
114,Valparaíso,Servicios creativos,Empresa,Turismo
117,Valparaíso,Servicios creativos,Profesional independiente,Ciencia y tecnología
117,Valparaíso,Servicios creativos,Profesional independiente,Comunicaciones
117,Valparaíso,Servicios creativos,Profesional independiente,Innovación
120,Valparaíso,Bienes creativos,Empresa,Ciencia y tecnología
120,Valparaíso,Bienes creativos,Empresa,Comunicaciones
120,Valparaíso,Bienes creativos,Empresa,Educación
120,Valparaíso,Bienes creativos,Empresa,Energía renovable
120,Valparaíso,Bienes creativos,Empresa,Innovación
120,Valparaíso,Bienes creativos,Empresa,Transporte
126,Valparaíso,Bienes creativos,Empresa,Ciencia y tecnología
126,Valparaíso,Bienes creativos,Empresa,Comunicaciones
126,Valparaíso,Bienes creativos,Empresa,Energía no renovable
126,Valparaíso,Bienes creativos,Empresa,Innovación
126,Valparaíso,Bienes creativos,Empresa,Inversión social
126,Valparaíso,Bienes creativos,Empresa,Medioambiente y desastres naturales
126,Valparaíso,Bienes creativos,Empresa,Salud
129,Valparaíso,Bienes creativos,Profesional independiente,Ciencia y tecnología
129,Valparaíso,Bienes creativos,Profesional independiente,Educación
129,Valparaíso,Bienes creativos,Profesional independiente,Innovación
129,Valparaíso,Bienes creativos,Profesional independiente,Inversión social
129,Valparaíso,Bienes creativos,Profesional independiente,Retail
131,Valparaíso,Servicios creativos,Empresa,Ciencia y tecnología
131,Valparaíso,Servicios creativos,Empresa,Educación
131,Valparaíso,Servicios creativos,Empresa,Innovación
135,Valparaíso,Servicios creativos,Empresa,Comunicaciones
135,Valparaíso,Servicios creativos,Empresa,Educación
135,Valparaíso,Servicios creativos,Empresa,Energía renovable
135,Valparaíso,Servicios creativos,Empresa,Inversión social
135,Valparaíso,Servicios creativos,Empresa,Turismo
3,RM,Servicios creativos,Empresa,Comunicaciones
3,RM,Servicios creativos,Empresa,Retail
7,RM,Servicios creativos,Empresa,Ciencia y tecnología
7,RM,Servicios creativos,Empresa,Comunicaciones
7,RM,Servicios creativos,Empresa,Inversión social
7,RM,Servicios creativos,Empresa,Medioambiente y desastres naturales
7,RM,Servicios creativos,Empresa,Turismo
13,RM,Servicios creativos,Empresa,Ciencia y tecnología
13,RM,Servicios creativos,Empresa,Educación
14,RM,Servicios creativos,Empresa,Salud
15,RM,Contenidos creativos,Profesional independiente,Educación
15,RM,Contenidos creativos,Profesional independiente,Seguridad ciudadana
16,RM,Contenidos creativos,Empresa,Ciencia y tecnología
16,RM,Contenidos creativos,Empresa,Construcción y desarrollo urbano
16,RM,Contenidos creativos,Empresa,Educación
16,RM,Contenidos creativos,Empresa,Energía no renovable
16,RM,Contenidos creativos,Empresa,Energía renovable
16,RM,Contenidos creativos,Empresa,Innovación
16,RM,Contenidos creativos,Empresa,Minería
16,RM,Contenidos creativos,Empresa,Retail
16,RM,Contenidos creativos,Empresa,Salud
17,RM,Bienes creativos,Empresa,Ciencia y tecnología
17,RM,Bienes creativos,Empresa,Comunicaciones
17,RM,Bienes creativos,Empresa,Educación
17,RM,Bienes creativos,Empresa,Fintech
17,RM,Bienes creativos,Empresa,Innovación
18,RM,Servicios creativos,Empresa,Ciencia y tecnología
18,RM,Servicios creativos,Empresa,Innovación
18,RM,Servicios creativos,Empresa,Minería
19,RM,Servicios creativos,Empresa,Ciencia y tecnología
19,RM,Servicios creativos,Empresa,Comunicaciones
19,RM,Servicios creativos,Empresa,Educación
19,RM,Servicios creativos,Empresa,Innovación
19,RM,Servicios creativos,Empresa,Minería
19,RM,Servicios creativos,Empresa,Retail
19,RM,Servicios creativos,Empresa,Salud
19,RM,Servicios creativos,Empresa,Turismo
24,RM,Bienes creativos,Profesional independiente,Educación
25,RM,Contenidos creativos,Empresa,Agro-Tech
25,RM,Contenidos creativos,Empresa,Construcción y desarrollo urbano
25,RM,Contenidos creativos,Empresa,Educación
25,RM,Contenidos creativos,Empresa,Fintech
25,RM,Contenidos creativos,Empresa,Minería
25,RM,Contenidos creativos,Empresa,Retail
25,RM,Contenidos creativos,Empresa,Turismo
26,RM,Contenidos creativos,Empresa,Ciencia y tecnología
26,RM,Contenidos creativos,Empresa,Comunicaciones
26,RM,Contenidos creativos,Empresa,Inversión social
26,RM,Contenidos creativos,Empresa,Turismo
28,RM,Contenidos creativos,Empresa,Comunicaciones
28,RM,Contenidos creativos,Empresa,Retail
28,RM,Contenidos creativos,Empresa,Salud
36,RM,Contenidos creativos,Empresa,Comunicaciones
38,RM,Contenidos creativos,Empresa,Comunicaciones
38,RM,Contenidos creativos,Empresa,Educación
42,RM,Bienes creativos,Empresa,Ciencia y tecnología
42,RM,Bienes creativos,Empresa,Comunicaciones
42,RM,Bienes creativos,Empresa,Construcción y desarrollo urbano
42,RM,Bienes creativos,Empresa,Educación
42,RM,Bienes creativos,Empresa,Innovación
42,RM,Bienes creativos,Empresa,Inversión social
42,RM,Bienes creativos,Empresa,Seguridad ciudadana
42,RM,Bienes creativos,Empresa,Turismo
46,RM,Bienes creativos,Empresa,Ciencia y tecnología
46,RM,Bienes creativos,Empresa,Comunicaciones
46,RM,Bienes creativos,Empresa,Educación
46,RM,Bienes creativos,Empresa,Innovación
46,RM,Bienes creativos,Empresa,Medioambiente y desastres naturales
46,RM,Bienes creativos,Empresa,Salud
46,RM,Bienes creativos,Empresa,Transporte
47,RM,Experiencias creativas,Empresa,Ciencia y tecnología
47,RM,Experiencias creativas,Empresa,Comunicaciones
47,RM,Experiencias creativas,Empresa,Educación
48,RM,Experiencias creativas,Empresa,Ciencia y tecnología
48,RM,Experiencias creativas,Empresa,Comunicaciones
48,RM,Experiencias creativas,Empresa,Educación
48,RM,Experiencias creativas,Empresa,Innovación
48,RM,Experiencias creativas,Empresa,Salud
48,RM,Experiencias creativas,Empresa,Turismo
49,RM,Contenidos creativos,Empresa,Ciencia y tecnología
49,RM,Contenidos creativos,Empresa,Educación
49,RM,Contenidos creativos,Empresa,Turismo
55,RM,Servicios creativos,Empresa,Comunicaciones
56,RM,Bienes creativos,Profesional independiente,Comunicaciones
56,RM,Bienes creativos,Profesional independiente,Educación
56,RM,Bienes creativos,Profesional independiente,Innovación
56,RM,Bienes creativos,Profesional independiente,Retail
58,RM,Contenidos creativos,Empresa,Agro-Tech
58,RM,Contenidos creativos,Empresa,Educación
58,RM,Contenidos creativos,Empresa,Fintech
58,RM,Contenidos creativos,Empresa,Inversión social
63,RM,Contenidos creativos,Empresa,Educación
63,RM,Contenidos creativos,Empresa,Innovación
65,RM,Experiencias creativas,Profesional independiente,Salud
78,RM,Servicios creativos,Empresa,Comunicaciones
78,RM,Servicios creativos,Empresa,Educación
80,RM,Contenidos creativos,Profesional independiente,Construcción y desarrollo urbano
80,RM,Contenidos creativos,Profesional independiente,Retail
80,RM,Contenidos creativos,Profesional independiente,Arquitectura e interiorismo
83,RM,Bienes creativos,Profesional independiente,Ciencia y tecnología
83,RM,Bienes creativos,Profesional independiente,Educación
83,RM,Bienes creativos,Profesional independiente,Salud
86,RM,Servicios creativos,Empresa,Energía renovable
87,RM,Experiencias creativas,Profesional independiente,Ciencia y tecnología
87,RM,Experiencias creativas,Profesional independiente,Comunicaciones
87,RM,Experiencias creativas,Profesional independiente,Educación
88,RM,Contenidos creativos,Empresa,Ciencia y tecnología
88,RM,Contenidos creativos,Empresa,Comunicaciones
88,RM,Contenidos creativos,Empresa,Educación
88,RM,Contenidos creativos,Empresa,Innovación
88,RM,Contenidos creativos,Empresa,Inversión social
88,RM,Contenidos creativos,Empresa,Medioambiente y desastres naturales
88,RM,Contenidos creativos,Empresa,Turismo
89,RM,Experiencias creativas,Empresa,Ciencia y tecnología
89,RM,Experiencias creativas,Empresa,Educación
90,RM,Experiencias creativas,Profesional independiente,Comunicaciones
90,RM,Experiencias creativas,Profesional independiente,Educación
93,RM,Experiencias creativas,Profesional independiente,Ciencia y tecnología
93,RM,Experiencias creativas,Profesional independiente,Educación
93,RM,Experiencias creativas,Profesional independiente,Innovación
94,RM,Servicios creativos,Profesional independiente,Ciencia y tecnología
94,RM,Servicios creativos,Profesional independiente,Comunicaciones
94,RM,Servicios creativos,Profesional independiente,Educación
94,RM,Servicios creativos,Profesional independiente,Innovación
96,RM,Experiencias creativas,Empresa,Agro-Tech
96,RM,Experiencias creativas,Empresa,Ciencia y tecnología
96,RM,Experiencias creativas,Empresa,Comunicaciones
96,RM,Experiencias creativas,Empresa,Educación
96,RM,Experiencias creativas,Empresa,Energía no renovable
96,RM,Experiencias creativas,Empresa,Energía renovable
96,RM,Experiencias creativas,Empresa,Minería
96,RM,Experiencias creativas,Empresa,Seguridad ciudadana
98,RM,Experiencias creativas,Profesional independiente,Ciencia y tecnología
98,RM,Experiencias creativas,Profesional independiente,Comunicaciones
98,RM,Experiencias creativas,Profesional independiente,Educación
98,RM,Experiencias creativas,Profesional independiente,Medioambiente y desastres naturales
99,RM,Bienes creativos,Empresa,Ciencia y tecnología
99,RM,Bienes creativos,Empresa,Comunicaciones
99,RM,Bienes creativos,Empresa,Innovación
99,RM,Bienes creativos,Empresa,Minería
99,RM,Bienes creativos,Empresa,Retail
99,RM,Bienes creativos,Empresa,Turismo
100,RM,Experiencias creativas,Empresa,Comunicaciones
100,RM,Experiencias creativas,Empresa,Medioambiente y desastres naturales
101,RM,Servicios creativos,Empresa,Ciencia y tecnología
101,RM,Servicios creativos,Empresa,Comunicaciones
101,RM,Servicios creativos,Empresa,Construcción y desarrollo urbano
101,RM,Servicios creativos,Empresa,Educación
101,RM,Servicios creativos,Empresa,Energía renovable
101,RM,Servicios creativos,Empresa,Innovación
101,RM,Servicios creativos,Empresa,Inversión social
101,RM,Servicios creativos,Empresa,Retail
101,RM,Servicios creativos,Empresa,Turismo
102,RM,Experiencias creativas,Empresa,Ciencia y tecnología
102,RM,Experiencias creativas,Empresa,Comunicaciones
102,RM,Experiencias creativas,Empresa,Educación
102,RM,Experiencias creativas,Empresa,Innovación
102,RM,Experiencias creativas,Empresa,Medioambiente y desastres naturales
105,RM,Experiencias creativas,Empresa,Educación
105,RM,Experiencias creativas,Empresa,Innovación
105,RM,Experiencias creativas,Empresa,Salud
106,RM,Bienes creativos,Empresa,Ciencia y tecnología
106,RM,Bienes creativos,Empresa,Educación
106,RM,Bienes creativos,Empresa,Energía renovable
106,RM,Bienes creativos,Empresa,Innovación
106,RM,Bienes creativos,Empresa,Medioambiente y desastres naturales
106,RM,Bienes creativos,Empresa,Minería
106,RM,Bienes creativos,Empresa,Salud
109,RM,Servicios creativos,Empresa,Comunicaciones
109,RM,Servicios creativos,Empresa,Educación
109,RM,Servicios creativos,Empresa,Energía renovable
109,RM,Servicios creativos,Empresa,Innovación
110,RM,Experiencias creativas,Empresa,Ciencia y tecnología
110,RM,Experiencias creativas,Empresa,Comunicaciones
110,RM,Experiencias creativas,Empresa,Educación
110,RM,Experiencias creativas,Empresa,Innovación
110,RM,Experiencias creativas,Empresa,Retail
112,RM,Servicios creativos,Empresa,Comunicaciones
112,RM,Servicios creativos,Empresa,Educación
112,RM,Servicios creativos,Empresa,Energía renovable
112,RM,Servicios creativos,Empresa,Fintech
112,RM,Servicios creativos,Empresa,Innovación
112,RM,Servicios creativos,Empresa,Inversión social
112,RM,Servicios creativos,Empresa,Retail
119,RM,Servicios creativos,Empresa,Agro-Tech
119,RM,Servicios creativos,Empresa,Comunicaciones
119,RM,Servicios creativos,Empresa,Educación
119,RM,Servicios creativos,Empresa,Innovación
119,RM,Servicios creativos,Empresa,Medioambiente y desastres naturales
119,RM,Servicios creativos,Empresa,Retail
119,RM,Servicios creativos,Empresa,Salud
119,RM,Servicios creativos,Empresa,Turismo
122,RM,Contenidos creativos,Empresa,Comunicaciones
122,RM,Contenidos creativos,Empresa,Educación
122,RM,Contenidos creativos,Empresa,Seguros
124,RM,Experiencias creativas,Profesional independiente,Ciencia y tecnología
124,RM,Experiencias creativas,Profesional independiente,Comunicaciones
124,RM,Experiencias creativas,Profesional independiente,Educación
