v362_id,region,cadena_productiva,tipo_empresa,tecnologias,nivel_adopcion
30,Arica,Contenidos creativos,Empresa,software_especializado_aplicado_a_su_sector,LENTO ADOPTANTE (se suman cuando las tecnologías están consolidadas)
72,Arica,Servicios creativos,Empresa,impresion_3d,LENTO ADOPTANTE (se suman cuando las tecnologías están consolidadas)
72,Arica,Servicios creativos,Empresa,inteligencia_artificial_ia,EARLY ADOPTER (adoptan tecnologías en fase inicial)
72,Arica,Servicios creativos,Empresa,software_especializado_aplicado_a_su_sector,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
97,Arica,Experiencias creativas,Empresa,creacion_de_entornos_virtuales,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
97,Arica,Experiencias creativas,Empresa,impresion_3d,EARLY ADOPTER (adoptan tecnologías en fase inicial)
97,Arica,Experiencias creativas,Empresa,realidad_aumentada_ar,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
97,Arica,Experiencias creativas,Empresa,realidad_virtual_vr,EARLY ADOPTER (adoptan tecnologías en fase inicial)
97,Arica,Experiencias creativas,Empresa,software_de_3d,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
54,Antofagasta,Servicios creativos,Profesional independiente,software_especializado_aplicado_a_su_sector,LENTO ADOPTANTE (se suman cuando las tecnologías están consolidadas)
73,Antofagasta,Experiencias creativas,Empresa,software_de_3d,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
73,Antofagasta,Experiencias creativas,Empresa,software_especializado_aplicado_a_su_sector,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
73,Antofagasta,Experiencias creativas,Empresa,sonido_inmersivo,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
138,Atacama,Bienes creativos,Empresa,creacion_de_entornos_virtuales,EARLY ADOPTER (adoptan tecnologías en fase inicial)
138,Atacama,Bienes creativos,Empresa,inteligencia_artificial_ia,EARLY ADOPTER (adoptan tecnologías en fase inicial)
138,Atacama,Bienes creativos,Empresa,mocap_motion_capture,EARLY ADOPTER (adoptan tecnologías en fase inicial)
138,Atacama,Bienes creativos,Empresa,realidad_aumentada_ar,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
138,Atacama,Bienes creativos,Empresa,realidad_virtual_vr,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
138,Atacama,Bienes creativos,Empresa,software_de_3d,EARLY ADOPTER (adoptan tecnologías en fase inicial)
138,Atacama,Bienes creativos,Empresa,software_especializado_aplicado_a_su_sector,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
138,Atacama,Bienes creativos,Empresa,sonido_inmersivo,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
138,Atacama,Bienes creativos,Empresa,vfx_visual_effects,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
8,Valparaíso,Bienes creativos,Empresa,software_de_3d,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
11,Valparaíso,Servicios creativos,Empresa,impresion_3d,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
11,Valparaíso,Servicios creativos,Empresa,software_de_3d,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
11,Valparaíso,Servicios creativos,Empresa,software_especializado_aplicado_a_su_sector,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
12,Valparaíso,Contenidos creativos,Empresa,creacion_de_entornos_virtuales,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
12,Valparaíso,Contenidos creativos,Empresa,inteligencia_artificial_ia,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
12,Valparaíso,Contenidos creativos,Empresa,realidad_aumentada_ar,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
12,Valparaíso,Contenidos creativos,Empresa,realidad_virtual_vr,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
12,Valparaíso,Contenidos creativos,Empresa,software_de_3d,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
12,Valparaíso,Contenidos creativos,Empresa,vfx_visual_effects,EARLY ADOPTER (adoptan tecnologías en fase inicial)
20,Valparaíso,Servicios creativos,Empresa,creacion_de_entornos_virtuales,LENTO ADOPTANTE (se suman cuando las tecnologías están consolidadas)
20,Valparaíso,Servicios creativos,Empresa,impresion_3d,LENTO ADOPTANTE (se suman cuando las tecnologías están consolidadas)
20,Valparaíso,Servicios creativos,Empresa,inteligencia_artificial_ia,EARLY ADOPTER (adoptan tecnologías en fase inicial)
20,Valparaíso,Servicios creativos,Empresa,realidad_aumentada_ar,EARLY ADOPTER (adoptan tecnologías en fase inicial)
20,Valparaíso,Servicios creativos,Empresa,realidad_virtual_vr,EARLY ADOPTER (adoptan tecnologías en fase inicial)
20,Valparaíso,Servicios creativos,Empresa,software_de_3d,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
20,Valparaíso,Servicios creativos,Empresa,software_especializado_aplicado_a_su_sector,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
21,Valparaíso,Servicios creativos,Empresa,creacion_de_entornos_virtuales,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
21,Valparaíso,Servicios creativos,Empresa,impresion_3d,EARLY ADOPTER (adoptan tecnologías en fase inicial)
21,Valparaíso,Servicios creativos,Empresa,realidad_virtual_vr,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
21,Valparaíso,Servicios creativos,Empresa,software_de_3d,EARLY ADOPTER (adoptan tecnologías en fase inicial)
32,Valparaíso,Experiencias creativas,Profesional independiente,creacion_de_entornos_virtuales,EARLY ADOPTER (adoptan tecnologías en fase inicial)
32,Valparaíso,Experiencias creativas,Profesional independiente,inteligencia_artificial_ia,EARLY ADOPTER (adoptan tecnologías en fase inicial)
32,Valparaíso,Experiencias creativas,Profesional independiente,software_de_3d,EARLY ADOPTER (adoptan tecnologías en fase inicial)
32,Valparaíso,Experiencias creativas,Profesional independiente,sonido_inmersivo,EARLY ADOPTER (adoptan tecnologías en fase inicial)
32,Valparaíso,Experiencias creativas,Profesional independiente,vfx_visual_effects,LENTO ADOPTANTE (se suman cuando las tecnologías están consolidadas)
52,Valparaíso,Experiencias creativas,Empresa,creacion_de_entornos_virtuales,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
52,Valparaíso,Experiencias creativas,Empresa,impresion_3d,EARLY ADOPTER (adoptan tecnologías en fase inicial)
52,Valparaíso,Experiencias creativas,Empresa,inteligencia_artificial_ia,EARLY ADOPTER (adoptan tecnologías en fase inicial)
52,Valparaíso,Experiencias creativas,Empresa,mocap_motion_capture,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
52,Valparaíso,Experiencias creativas,Empresa,realidad_aumentada_ar,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
52,Valparaíso,Experiencias creativas,Empresa,realidad_virtual_vr,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
52,Valparaíso,Experiencias creativas,Empresa,reconocimiento_facial,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
52,Valparaíso,Experiencias creativas,Empresa,software_de_3d,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
52,Valparaíso,Experiencias creativas,Empresa,software_especializado_aplicado_a_su_sector,INNOVADOR (desarrollan y adoptan nuevas tecnologías)
