id,region,cadena_productiva,tipo_empresa,tendencia
30,Arica,Contenidos creativos,Empresa,Servicios creativos
72,Arica,Servicios creativos,Empresa,Computación o programación creativa
72,Arica,Servicios creativos,Empresa,Robótica
72,Arica,Servicios creativos,Empresa,Servicios creativos
97,Arica,Experiencias creativas,Empresa,Computación o programación creativa
97,Arica,Experiencias creativas,Empresa,Cultura y entretenimiento
97,Arica,Experiencias creativas,Empresa,Servicios creativos
54,Antofagasta,Servicios creativos,Profesional independiente,Contenido para redes sociales
54,Antofagasta,Servicios creativos,Profesional independiente,Cultura y entretenimiento
54,Antofagasta,Servicios creativos,Profesional independiente,Nuevos medios
54,Antofagasta,Servicios creativos,Profesional independiente,Servicios creativos
73,Antofagasta,Experiencias creativas,Empresa,Música
138,Atacama,Bienes creativos,Empresa,Cultura y entretenimiento
138,Atacama,Bienes creativos,Empresa,Música
138,Atacama,Bienes creativos,Empresa,Nuevos medios
8,Valparaíso,Bienes creativos,Empresa,Ninguna de las anteriores
20,Valparaíso,Servicios creativos,Empresa,Computación o programación creativa
20,Valparaíso,Servicios creativos,Empresa,Contenido para redes sociales
20,Valparaíso,Servicios creativos,Empresa,Juegos interactivos
20,Valparaíso,Servicios creativos,Empresa,Nuevos medios
20,Valparaíso,Servicios creativos,Empresa,Servicios creativos
21,Valparaíso,Servicios creativos,Empresa,Computación o programación creativa
21,Valparaíso,Servicios creativos,Empresa,Nuevos medios
21,Valparaíso,Servicios creativos,Empresa,Servicios creativos
32,Valparaíso,Experiencias creativas,Profesional independiente,Nuevos medios
52,Valparaíso,Experiencias creativas,Empresa,Servicios creativos
53,Valparaíso,Servicios creativos,Empresa,Data science
68,Valparaíso,Contenidos creativos,Profesional independiente,Contenido para redes sociales
68,Valparaíso,Contenidos creativos,Profesional independiente,Servicios creativos
69,Valparaíso,Bienes creativos,Profesional independiente,Servicios creativos
71,Valparaíso,Servicios creativos,Empresa,Contenido para redes sociales
71,Valparaíso,Servicios creativos,Empresa,Cultura y entretenimiento
71,Valparaíso,Servicios creativos,Empresa,Música
84,Valparaíso,Contenidos creativos,Empresa,Cultura y entretenimiento
84,Valparaíso,Contenidos creativos,Empresa,Juegos interactivos
84,Valparaíso,Contenidos creativos,Empresa,Nuevos medios
92,Valparaíso,Servicios creativos,Empresa,Computación o programación creativa
92,Valparaíso,Servicios creativos,Empresa,Cultura y entretenimiento
92,Valparaíso,Servicios creativos,Empresa,Servicios creativos
103,Valparaíso,Contenidos creativos,Profesional independiente,Contenido para redes sociales
103,Valparaíso,Contenidos creativos,Profesional independiente,Cultura y entretenimiento
103,Valparaíso,Contenidos creativos,Profesional independiente,Servicios creativos
113,Valparaíso,Bienes creativos,Empresa,Computación o programación creativa
113,Valparaíso,Bienes creativos,Empresa,Nuevos medios
114,Valparaíso,Servicios creativos,Empresa,Computación o programación creativa
114,Valparaíso,Servicios creativos,Empresa,Juegos interactivos
114,Valparaíso,Servicios creativos,Empresa,Servicios creativos
117,Valparaíso,Servicios creativos,Profesional independiente,Computación o programación creativa
117,Valparaíso,Servicios creativos,Profesional independiente,Juegos interactivos
117,Valparaíso,Servicios creativos,Profesional independiente,Nuevos medios
120,Valparaíso,Bienes creativos,Empresa,Cultura y entretenimiento
126,Valparaíso,Bienes creativos,Empresa,Cultura y entretenimiento
126,Valparaíso,Bienes creativos,Empresa,Nuevos medios
126,Valparaíso,Bienes creativos,Empresa,Servicios creativos
129,Valparaíso,Bienes creativos,Profesional independiente,Cultura y entretenimiento
129,Valparaíso,Bienes creativos,Profesional independiente,Data science
129,Valparaíso,Bienes creativos,Profesional independiente,Juegos interactivos
129,Valparaíso,Bienes creativos,Profesional independiente,Servicios creativos
131,Valparaíso,Servicios creativos,Empresa,Juegos interactivos
135,Valparaíso,Servicios creativos,Empresa,Música
135,Valparaíso,Servicios creativos,Empresa,Servicios creativos
2,RM,Servicios creativos,Profesional independiente,Computación o programación creativa
2,RM,Servicios creativos,Profesional independiente,Juegos interactivos
3,RM,Servicios creativos,Empresa,Computación o programación creativa
3,RM,Servicios creativos,Empresa,Cultura y entretenimiento
3,RM,Servicios creativos,Empresa,Fintech
13,RM,Servicios creativos,Empresa,Juegos interactivos
13,RM,Servicios creativos,Empresa,Servicios creativos
14,RM,Servicios creativos,Empresa,Data science
14,RM,Servicios creativos,Empresa,Servicios creativos
15,RM,Contenidos creativos,Profesional independiente,Data science
15,RM,Contenidos creativos,Profesional independiente,Nuevos medios
15,RM,Contenidos creativos,Profesional independiente,Wearables
16,RM,Contenidos creativos,Empresa,Juegos interactivos
16,RM,Contenidos creativos,Empresa,Servicios creativos
17,RM,Bienes creativos,Empresa,Cultura y entretenimiento
17,RM,Bienes creativos,Empresa,Fintech
18,RM,Servicios creativos,Empresa,Computación o programación creativa
18,RM,Servicios creativos,Empresa,Wearables
19,RM,Servicios creativos,Empresa,Computación o programación creativa
19,RM,Servicios creativos,Empresa,Servicios creativos
22,RM,Servicios creativos,Profesional independiente,Cultura y entretenimiento
22,RM,Servicios creativos,Profesional independiente,Música
23,RM,Experiencias creativas,Empresa,Computación o programación creativa
23,RM,Experiencias creativas,Empresa,Contenido para redes sociales
23,RM,Experiencias creativas,Empresa,Cultura y entretenimiento
24,RM,Bienes creativos,Profesional independiente,Música
25,RM,Contenidos creativos,Empresa,Contenido para redes sociales
25,RM,Contenidos creativos,Empresa,Cultura y entretenimiento
25,RM,Contenidos creativos,Empresa,Nuevos medios
26,RM,Contenidos creativos,Empresa,Cultura y entretenimiento
26,RM,Contenidos creativos,Empresa,Nuevos medios
26,RM,Contenidos creativos,Empresa,Servicios creativos
28,RM,Contenidos creativos,Empresa,Contenido para redes sociales
33,RM,Servicios creativos,Empresa,Cultura y entretenimiento
33,RM,Servicios creativos,Empresa,Nuevos medios
33,RM,Servicios creativos,Empresa,Servicios creativos
34,RM,Contenidos creativos,Empresa,Data science
35,RM,Contenidos creativos,Empresa,Computación o programación creativa
35,RM,Contenidos creativos,Empresa,Contenido para redes sociales
35,RM,Contenidos creativos,Empresa,Cultura y entretenimiento
35,RM,Contenidos creativos,Empresa,Juegos interactivos
35,RM,Contenidos creativos,Empresa,Nuevos medios
35,RM,Contenidos creativos,Empresa,Servicios creativos
36,RM,Contenidos creativos,Empresa,Cultura y entretenimiento
36,RM,Contenidos creativos,Empresa,Música
36,RM,Contenidos creativos,Empresa,Servicios creativos
38,RM,Contenidos creativos,Empresa,Contenido para redes sociales
38,RM,Contenidos creativos,Empresa,Servicios creativos
42,RM,Bienes creativos,Empresa,Contenido para redes sociales
42,RM,Bienes creativos,Empresa,Nuevos medios
42,RM,Bienes creativos,Empresa,Servicios creativos
45,RM,Contenidos creativos,Profesional independiente,Contenido para redes sociales
46,RM,Bienes creativos,Empresa,Computación o programación creativa
46,RM,Bienes creativos,Empresa,Cultura y entretenimiento
46,RM,Bienes creativos,Empresa,Nuevos medios
47,RM,Experiencias creativas,Empresa,Cultura y entretenimiento
