region,tipo_empresa,cadena_productiva,agrupacion_tecnocreativa,genero,asociatividad,vinculos_educativos,tamano_empresa_num_trab,rango_ventas,exportaciones,exportaciones_porc_ingreso,internacionalizacion,mercados_intern
Arica,Empresa,Contenidos creativos,Contenido para redes sociales,Mujer,No,Sí,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",Ninguno
Arica,Empresa,Servicios creativos,Música,Hombre,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,Sí,3,"Sí, pero aún no se han concretado operaciones internacionales",
Arica,Empresa,Experiencias creativas,Nuevos medios,Hombre,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,11,"No, pero está en las prioridades actuales",
Antofagasta,Profesional independiente,Servicios creativos,Editorial (medios digitales),Hombre,,,1-5,,,,,
Antofagasta,Empresa,Experiencias creativas,Música,Hombre,No,Sí,Más de 50,Entre 50.000 y 100.000 USD,No,1,No y no está en los planes actuales,
Atacama,Empresa,Bienes creativos,Servicios creativos,Hombre,No,No,11-50,Entre 50.000 y 100.000 USD,Sí,5,"Sí, pero aún no se han concretado operaciones internacionales",
Valparaíso,Empresa,Bienes creativos,Computación o programación creativa,Mujer,No,Sí,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
Valparaíso,Empresa,Servicios creativos,Computación o programación creativa,Hombre,No,No,1-5,Entre 50.000 y 100.000 USD,Sí,15,"Sí, en uno",Estados Unidos
Valparaíso,Empresa,Contenidos creativos,Computación o programación creativa,Hombre,Sí (especificar cuál),No,11-50,Más de 100.000 USD,Sí,22,"Sí, en más de uno",Perú y España
Valparaíso,Empresa,Servicios creativos,Computación o programación creativa,Mujer,Sí (especificar cuál),Sí,Más de 50,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
Valparaíso,Empresa,Servicios creativos,Computación o programación creativa,Hombre,No,No,1-5,Menos de 10.000 USD,No,3,"No, pero está en las prioridades actuales",
Valparaíso,Profesional independiente,Experiencias creativas,Cultura y entretenimiento,Mujer,No,No,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
Valparaíso,Empresa,Experiencias creativas,Cultura y entretenimiento,Mujer,Sí (especificar cuál),Sí,6-10,Entre 10.000 y 50.000 USD,Sí,10,"Sí, en más de uno",
Valparaíso,Empresa,Servicios creativos,Data science,Hombre,Sí (especificar cuál),Sí,6-10,Entre 10.000 y 50.000 USD,Sí,10,"No, pero está en las prioridades actuales",
Valparaíso,Profesional independiente,Contenidos creativos,Música,Hombre,No,No,1-5,Menos de 10.000 USD,No,1,No y no está en los planes actuales,
Valparaíso,Profesional independiente,Bienes creativos,Música,Hombre,Sí (especificar cuál),No,0,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
Valparaíso,Empresa,Servicios creativos,Música,Hombre,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
Valparaíso,Empresa,Contenidos creativos,Ninguna de las anteriores,Hombre,No,No,11-50,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
Valparaíso,Empresa,Contenidos creativos,Nuevos medios,Mujer,Sí (especificar cuál),Sí,6-10,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
Valparaíso,Empresa,Servicios creativos,Nuevos medios,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
Valparaíso,Profesional independiente,Contenidos creativos,Nuevos medios,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,Sí,17,"Sí, pero aún no se han concretado operaciones internacionales",
Valparaíso,Empresa,Bienes creativos,Servicios creativos,Hombre,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,80,"Sí, en uno",USA
Valparaíso,Empresa,Servicios creativos,Servicios creativos,Mujer,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
Valparaíso,Profesional independiente,Servicios creativos,Servicios creativos,Hombre,No,No,0,Entre 50.000 y 100.000 USD,Sí,90,"Sí, en uno",Canada
Valparaíso,Empresa,Bienes creativos,Servicios creativos,Hombre,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,4,"No, pero está en las prioridades actuales",Usa
Valparaíso,Empresa,Bienes creativos,Servicios creativos,Otro (especifique) - gay,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,49,"Sí, en más de uno",Festivales : Cannes Inmersive/ Dok Leipzig / IDFA / FIDBA
Valparaíso,Profesional independiente,Bienes creativos,Servicios creativos,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,4,No y no está en los planes actuales,
Valparaíso,Empresa,Servicios creativos,Servicios creativos,Hombre,Sí (especificar cuál),Sí,11-50,Más de 100.000 USD,Sí,10,No y no está en los planes actuales,
Valparaíso,Empresa,Servicios creativos,Servicios creativos,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,Sí,10,"No, pero está en las prioridades actuales",
Valparaíso,Profesional independiente,,,Hombre,,,,,,,,
Valparaíso,Empresa,,,Hombre,,,,,,,,
Valparaíso,Empresa,,,Mujer,,,,,,,,
Valparaíso,Empresa,,,Mujer,,,,,,,,
Valparaíso,Empresa,,,Mujer,,,,,,,,
RM,Profesional independiente,Servicios creativos,Computación o programación creativa,Hombre,,,1-5,,,,,
RM,Empresa,Servicios creativos,Computación o programación creativa,Hombre,No,No,1-5,Menos de 10.000 USD,Sí,25,"Sí, en uno",Mexico
RM,Profesional independiente,Contenidos creativos,Computación o programación creativa,Hombre,No,No,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Empresa,Servicios creativos,Computación o programación creativa,Mujer,No,No,1-5,Entre 10.000 y 50.000 USD,Sí,100,"Sí, pero aún no se han concretado operaciones internacionales",
RM,Empresa,Servicios creativos,Computación o programación creativa,Hombre,No,No,0,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Empresa,Servicios creativos,Computación o programación creativa,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Profesional independiente,Contenidos creativos,Computación o programación creativa,Hombre,No,Sí,1-5,Menos de 10.000 USD,Sí,6,No y no está en los planes actuales,
RM,Empresa,Contenidos creativos,Computación o programación creativa,Hombre,No,Sí,6-10,Más de 100.000 USD,Sí,4,"Sí, en más de uno",
RM,Empresa,Bienes creativos,Computación o programación creativa,Hombre,No,Sí,6-10,Menos de 10.000 USD,Sí,25,"Sí, pero aún no se han concretado operaciones internacionales",
RM,Empresa,Servicios creativos,Computación o programación creativa,Hombre,Sí (especificar cuál),Sí,11-50,Más de 100.000 USD,Sí,15,"Sí, en uno",USA
RM,Empresa,Servicios creativos,Computación o programación creativa,Hombre,Sí (especificar cuál),Sí,1-5,Más de 100.000 USD,Sí,60,"Sí, en más de uno","USA, UE"
RM,Profesional independiente,Servicios creativos,Contenido para redes sociales,Mujer,,,1-5,,,,,
RM,Empresa,Experiencias creativas,Contenido para redes sociales,Mujer,,,Más de 50,,,,,
RM,Profesional independiente,Bienes creativos,Contenido para redes sociales,Hombre,No,No,1-5,Menos de 10.000 USD,No,19,"Sí, en uno",
